mutagene	type
early_onset_prostate_cancer	EOPC
hepatocellular_adenoma_(benign)	LIAD
kidney_renal_clear_cell_carcinoma	KIRC
esophageal_adenocarcinoma	ESAD
skin_adenocarcinoma	EKCA
colon_adenocarcinoma	COAD
gastric_cancer	STAD
lung_squamous_cell_carcinoma	LUSC
bladder_urothelial_carcinoma	BLCA
chronic_lymphocytic_leukemia	CLLE
neuroblastoma	NBL
colorectal_adenocarcinoma_(non-western)	COCA
bone_cancer	BOCA
breast_cancer	BRCA
uterine_corpus_endometrial_carcinoma	UCEC
lung_adenocarcinoma	LUAD
benign_pan-tissue_somatic_mutations	NA
human_germline_variation_from_dbsnp	NA
hepatocellular_carcinoma	LIHC
thyroid_cancer	THCA
medulloblastoma	MB
renal_cancer	RECA
brain_glioblastoma_multiforme	GBM
tripple_negative_breast_cancer	BRCA2
rhabdosarcoma	RHB
prostate_adenocarcinoma	PRAD
esophageal_squamous_carcinoma	ESCA2
ovarian_serous_cystadenocarcinoma	OV
acute_myeloid_leukemia	LAML
cervical_squamous_cell_carcinoma	CESC
pancancer	PAN
pancreatic_cancer_endocrine_neoplasms	PAEN
kidney_renal_papillary_cell_carcinoma	KIRP
skin_cutaneous_melanoma	SKCM
oral_cancer	ORCA
pancreatic_cancer	PAAD
brain_lower_grade_glioma	LGG
gcb_lymphomas	MALY
rectum_adenocarcinoma	READ
medulloblastoma_and_astrocytoma	PBCA
acute_lymphoblastic_leukemia_(t-cell)	T-ALL
